Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2023
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,12,2627,0.02,32.36,276.81,308.96,0,0,-32.339999999999996,23.0675,-2.695,September 2023
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2023
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2023
Total C Interval Schemes,,,12,2627,0.02,32.36,276.81,308.96,0,0,-32.339999999999996,23.0675,-2.695,September 2023
Grand Total,,,1451,157096187,888400.82,954592.41,4657755.22,4779015.24,12,35.14,-66191.59000000008,3210.03116471399,-45.61791178497594,September 2023
Fund of Funds Scheme (Domestic) **,,,76,1892068,634.77,913.71,69149.58,69533.67,0,0,-278.94000000000005,909.8628947368421,-3.6702631578947376,September 2023
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,34,762912,467846.94,464688.57,82759.91,104662.65,0,0,3158.3699999999953,2434.1150000000002,92.89323529411752,August 2023
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,36,1797419,326847.58,353671.26,450016.9,480164.12,0,0,-26823.679999999993,12500.469444444445,-745.102222222222,August 2023
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,645997,14148.26,18271.49,97045.68,99836.15,0,0,-4123.230000000001,4043.5699999999997,-171.80125000000007,August 2023
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,929069,11649.05,12156.83,106821.82,107551.81,1,0,-507.78000000000065,5086.753333333334,-24.18000000000003,August 2023
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,434688,32521.15,32429.66,150533.53,151951.68,0,0,91.4900000000016,6544.936086956522,3.977826086956591,August 2023
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,494329,3691.13,4183.93,99453.08,99145.35,0,0,-492.8000000000002,4143.878333333333,-20.533333333333342,August 2023
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,250419,244.66,445.19,27354.46,27379.83,3,0,-200.53,1823.6306666666667,-13.368666666666666,August 2023
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,105893,92.04,243.28,10166.2,10249.47,0,0,-151.24,847.1833333333334,-12.603333333333333,August 2023
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,7,47453,228.13,47.73,9570.95,9440.69,0,0,180.4,1367.2785714285715,25.771428571428572,August 2023
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,230149,786.69,651.7,30722.06,30479.19,0,0,134.99,1396.4572727272728,6.135909090909092,August 2023
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,606872,4126.08,2370.64,139506.41,137496.09,0,0,1755.44,6643.162380952381,83.59238095238095,August 2023
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,14,230733,91.98,362.73,24146.22,24203.73,3,0,-270.75,1724.73,-19.339285714285715,August 2023
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,281393,663.45,1648.11,80387.62,80471.08,0,0,-984.6599999999999,3495.113913043478,-42.81130434782608,August 2023
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,181526,643.99,388.96,23664.51,23491.66,0,0,255.03000000000003,1075.6595454545454,11.592272727272729,August 2023
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,5,41330,87.13,305.29,4028.93,4236.76,0,0,-218.16000000000003,805.786,-43.632000000000005,August 2023
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,229032,5077.7,2753.09,63406.37,62516.33,0,0,2324.6099999999997,4877.413076923077,178.8161538461538,August 2023
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,316,7269214,868745.94,894618.44,1399584.65,1453276.6,7,0,-25872.5,4429.065348101266,-81.875,August 2023
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,21,4666295,4544.51,1122.37,90065.33,86591.83,0,0,3422.1400000000003,4288.825238095238,162.95904761904762,August 2023
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,30,13004992,3633.49,3982.47,262299.28,262556.79,0,0,-348.98,8743.309333333335,-11.632666666666667,August 2023
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,8192387,3829.53,1716.37,159363.07,156286.86,0,0,2113.1600000000003,6129.348846153846,81.27538461538462,August 2023
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,29,11625895,5282.68,2770.34,239462.22,231993.43,0,0,2512.34,8257.317931034482,86.63241379310345,August 2023
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,13846150,6734.9,2470.08,194020.17,185823.78,0,0,4264.82,8084.173750000001,177.70083333333332,August 2023
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,9,775683,586.53,170.23,17732.42,17435.86,0,0,416.29999999999995,1970.2688888888888,46.25555555555555,August 2023
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,23,5183298,2342.17,977.55,112731.06,111174.52,0,0,1364.6200000000001,4901.350434782608,59.33130434782609,August 2023
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,5181471,1675.21,2146.31,111637.01,111288.87,0,0,-471.0999999999999,4134.704074074074,-17.448148148148146,August 2023
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,136,13926575,8336.77,3530.96,212650.64,207582.76,0,0,4805.81,1563.6076470588237,35.336838235294124,August 2023
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,42,15381023,1766.34,1793.03,176213.88,175092.61,0,0,-26.690000000000055,4195.568571428572,-0.6354761904761917,August 2023
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,36,13000422,6090.39,3897.53,283765.41,280250.68,0,0,2192.86,7882.3724999999995,60.912777777777784,August 2023
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,403,104784191,44822.51,24577.26,1859940.5,1826077.99,0,0,20245.250000000004,4615.236972704714,50.23635235732011,August 2023
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,20,528375,743.38,476.16,25082.38,24780.66,1,0,267.21999999999997,1254.1190000000001,13.360999999999999,August 2023
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,30,5316778,2745.34,2138.01,171832.59,171147.83,2,9.33,607.3299999999999,5727.753,20.24433333333333,August 2023
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,29,4320241,6793.94,3177.93,209563.08,208285.38,0,0,3616.0099999999998,7226.313103448276,124.69,August 2023
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,13,1219116,2082.07,464.74,35288.31,36097.49,0,0,1617.3300000000002,2714.4853846153846,124.41000000000001,August 2023
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,26,442592,16390.06,6907.41,98939.38,110690.4,0,0,9482.650000000001,3805.3607692307696,364.71730769230777,August 2023
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,371658,2104.19,613.05,20516.57,20125.46,2,25.81,1491.14,932.5713636363636,67.77909090909091,August 2023
Sub Total - III (i+ii+iii+iv+v+vi),,,140,12198760,30858.99,13777.3,561222.3,571127.23,5,35.14,17081.690000000002,4008.730714285715,122.01207142857145,August 2023
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,26,2791050,313.88,189.49,21266.35,21011.59,0,0,124.38999999999999,817.9365384615384,4.784230769230769,August 2023
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2940947,130.65,64.14,16525.25,16388.69,0,0,66.51,1652.525,6.651000000000001,August 2023
Sub Total - IV (i+ii),,,36,5731997,444.52,253.62,37791.59,37400.28,0,0,190.89999999999998,1049.7663888888887,5.302777777777777,August 2023
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Index Funds,Open ended Schemes,Other Schemes,189,5113123,3753.19,1767.51,180749.63,179561.68,0,0,1985.68,956.3472486772487,10.506243386243387,August 2023
GOLD ETF,Open ended Schemes,Other Schemes,13,4795268,1050.28,22.23,24318.09,23701.99,0,0,1028.05,1870.6223076923077,79.08076923076922,August 2023
Other ETFs,Open ended Schemes,Other Schemes,169,12334415,10229.63,8336.76,546424.21,547863.92,0,0,1892.869999999999,3233.2793491124257,11.200414201183426,August 2023
Fund of funds investing overseas,Open ended Schemes,Other Schemes,50,1382783,268.41,639.83,23548.65,23344.74,0,0,-371.42,470.973,-7.4284,August 2023
Sub Total - V (i+ii+iii+iv),,,421,23625589,15301.51,10766.33,775040.58,774472.34,0,0,4535.18,1840.9514964370546,10.772399049881235,August 2023
Total A-Open ended Schemes,,,1316,153609751,960173.48,943992.95,4633579.62,4662354.44,12,35.14,16180.530000000028,3520.9571580547113,12.29523556231005,August 2023
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,87,112076,188.01,1703.83,18018.46,19418.59,0,0,-1515.82,207.1087356321839,-17.423218390804596,August 2023
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,0,0,0,43.25,0,8.37,0,0,-43.25,0,0,August 2023
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,7,52,0,0,2207.58,2201.1,0,0,0,315.36857142857144,0.0,August 2023
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,224580,115.18,301.04,5290.15,5281.32,0,0,-185.86,5290.15,-185.86,August 2023
Sub Total (i+ii+iii+iv),,,95,336708,303.19,2048.12,25516.19,26909.38,0,0,-1744.9299999999998,268.5914736842105,-18.367684210526313,August 2023
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,288784,0,27.89,3776.63,3766.14,0,0,-27.89,198.77,-1.4678947368421054,August 2023
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,3,3635,0,84.07,316.39,350.17,0,0,-84.07,105.46333333333332,-28.02333333333333,August 2023
Sub Total (i+ii),,,22,292419,0,111.96,4093.02,4116.31,0,0,-111.96,186.04636363636362,-5.089090909090909,August 2023
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2023
Total B -Close ended Schemes,,,117,629127,303.19,2160.08,29609.21,31025.68,0,0,-1856.8899999999999,253.07017094017093,-15.8708547008547,August 2023
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2023
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,12,2699,95.96,33.67,291.35,267.79,0,0,62.28999999999999,24.27916666666667,5.190833333333333,August 2023
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2023
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2023
Total C Interval Schemes,,,12,2699,95.96,33.67,291.35,267.79,0,0,62.28999999999999,24.27916666666667,5.190833333333333,August 2023
Grand Total,,,1445,154241577,960572.63,946186.7,4663480.18,4693647.92,12,35.14,14385.930000000051,3227.3219238754323,9.955660899654015,August 2023
Fund of Funds Scheme (Domestic) **,,,76,1894366,774.64,832.94,69237.59,68918.46,0,0,-58.30000000000007,911.0209210526315,-0.7671052631578956,August 2023
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,34,720682,449157.43,459904.26,79007.97,102623.38,0,0,-10746.830000000016,2323.7638235294116,-316.08323529411814,July 2023
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,36,1799501,392319.07,340380.66,474197.6,493489.12,0,0,51938.41000000003,13172.155555555555,1442.733611111112,July 2023
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,647116,19109.72,16244.72,100630.1,100606.98,0,0,2865.000000000002,4192.920833333334,119.37500000000007,July 2023
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,933671,13189.38,6161.96,106720.43,104663.47,1,0,7027.419999999999,5081.925238095238,334.6390476190476,July 2023
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,434366,33268.7,24660.56,149582.08,148130.87,0,0,8608.139999999996,6503.568695652173,374.26695652173896,July 2023
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,500046,1573.53,1878.93,99381.91,99449.39,0,0,-305.4000000000001,4140.912916666667,-12.725000000000003,July 2023
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,253075,358.01,425.51,27404.16,27372.85,3,0,-67.5,1826.944,-4.5,July 2023
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,106719,379.64,63.45,10256.31,10050.72,0,0,316.19,854.6925,26.349166666666665,July 2023
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,7,47731,153.64,39.21,9314.87,9267.32,0,0,114.42999999999998,1330.6957142857143,16.347142857142853,July 2023
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,232024,600.72,533.33,30410.42,30343.44,0,0,67.38999999999999,1382.2918181818181,3.0631818181818176,July 2023
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,608834,3341.53,2693.72,136964.2,136569.94,0,0,647.8100000000004,6522.104761904762,30.848095238095258,July 2023
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,14,234415,200.55,366.88,24293.69,24317.27,3,0,-166.32999999999998,1735.2635714285714,-11.880714285714285,July 2023
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,285661,419.28,1729.23,80959.19,81542.46,0,0,-1309.95,3519.9647826086957,-56.95434782608696,July 2023
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,181427,829.83,361.13,23254.5,22943.89,0,0,468.70000000000005,1057.0227272727273,21.30454545454546,July 2023
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,5,41832,53.74,71.63,4219.45,4228.02,0,0,-17.889999999999993,843.89,-3.5779999999999985,July 2023
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,231370,3754.1,1753.62,60641.06,60353.12,0,0,2000.48,4664.696923076923,153.8830769230769,July 2023
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,316,7258470,918708.88,857268.8,1417237.95,1455952.24,7,0,61440.07999999996,4484.930221518987,194.43063291139228,July 2023
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,20,4453227,3907.23,1406.76,85031.06,80849.48,0,0,2500.4700000000003,4251.553,125.02350000000001,July 2023
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,30,12965360,3271.41,5151.41,266035.38,263267.67,0,0,-1880.0,8867.846,-62.666666666666664,July 2023
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,8081426,3553.2,2226.42,155885.27,151855.93,0,0,1326.7799999999997,5995.587307692307,51.02999999999999,July 2023
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,29,11313470,4713.4,3090.07,229879.03,222719.75,0,0,1623.3299999999995,7926.863103448276,55.97689655172412,July 2023
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,13015548,6261.14,2089.7,182493.47,175208.16,0,0,4171.4400000000005,7603.894583333334,173.81000000000003,July 2023
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,9,763914,555.44,213.03,17368.37,16784.95,0,0,342.4100000000001,1929.8188888888888,38.045555555555566,July 2023
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,23,5053888,2103.47,1400.51,111052.33,107640.54,0,0,702.9599999999998,4828.362173913044,30.563478260869555,July 2023
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,5201169,1689.89,2756.6,112684.55,111195.92,0,0,-1066.7099999999998,4173.501851851852,-39.50777777777777,July 2023
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,131,13565765,6192.16,4762.82,206710.11,201135.52,0,0,1429.3400000000001,1577.9397709923662,10.910992366412215,July 2023
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,42,15325099,1592.52,2184.4,176490.06,173767.24,0,0,-591.8800000000001,4202.144285714286,-14.092380952380955,July 2023
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,35,12846852,4196.92,5129.09,280964.68,276729.96,0,0,-932.1700000000001,8027.562285714285,-26.633428571428574,July 2023
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,396,102585718,38036.78,30410.82,1824594.32,1781155.13,0,0,7625.959999999999,4607.561414141414,19.257474747474745,July 2023
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,20,523207,591.9,427.68,24694.85,24453.15,1,0,164.21999999999997,1234.7424999999998,8.210999999999999,July 2023
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,30,5299241,2469.18,2786.28,171714.04,169516.19,2,9.33,-317.10000000000036,5723.801333333334,-10.570000000000013,July 2023
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,29,4443098,4174.69,3755.65,211100.28,208465.92,0,0,419.0399999999995,7279.32,14.449655172413776,July 2023
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,13,1178713,1944.04,562.54,33779.61,34081.28,0,0,1381.5,2598.4315384615384,106.26923076923077,July 2023
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,26,438865,15906.66,5831.79,90745.63,99966.28,0,0,10074.869999999999,3490.2165384615387,387.49499999999995,July 2023
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,366513,1429.08,730.87,18962.21,18752.77,2,25.81,698.2099999999999,861.9186363636363,31.73681818181818,July 2023
Sub Total - III (i+ii+iii+iv+v+vi),,,140,12249637,26515.55,14094.81,550996.61,555235.6,5,35.14,12420.74,3935.690071428571,88.71957142857143,July 2023
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,26,2782143,237.68,160.3,21017.13,20601.24,0,0,77.38,808.3511538461539,2.976153846153846,July 2023
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2936379,117.99,74.75,16447.17,16171.1,0,0,43.239999999999995,1644.7169999999999,4.324,July 2023
Sub Total - IV (i+ii),,,36,5718522,355.67,235.05,37464.29,36772.34,0,0,120.62,1040.6747222222223,3.3505555555555557,July 2023
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Index Funds,Open ended Schemes,Other Schemes,186,4814292,3561.88,2382.61,179302.03,177597.25,0,0,1179.27,963.9894086021505,6.34016129032258,July 2023
GOLD ETF,Open ended Schemes,Other Schemes,13,4774760,535.26,79.11,23329.41,22738.17,0,0,456.15,1794.57,35.08846153846154,July 2023
Other ETFs,Open ended Schemes,Other Schemes,167,12212329,12243.19,12596.45,554108.34,548070.68,0,0,-353.2600000000002,3318.0140119760476,-2.1153293413173664,July 2023
Fund of funds investing overseas,Open ended Schemes,Other Schemes,50,1374053,304.79,727.32,24403.79,24088.96,0,0,-422.53000000000003,488.0758,-8.450600000000001,July 2023
Sub Total - V (i+ii+iii+iv),,,416,23175434,16645.12,15785.5,781143.56,772495.06,0,0,859.619999999999,1877.7489423076925,2.0663942307692285,July 2023
Total A-Open ended Schemes,,,1304,150987781,1000262.0,917794.98,4611436.74,4601610.36,12,35.14,82467.02000000002,3536.3778680981595,63.24157975460124,July 2023
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,89,133663,0,222.2,19432.83,19411.88,0,0,-222.2,218.34640449438203,-2.496629213483146,July 2023
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,1,520,0,76.35,43.21,94.98,0,0,-76.35,43.21,-76.35,July 2023
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,7,52,0,0,2192.1,2068.1,0,0,0,313.15714285714284,0.0,July 2023
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2023
Sub Total (i+ii+iii+iv),,,97,134235,0,298.55,21668.14,21574.96,0,0,-298.55,223.38288659793812,-3.077835051546392,July 2023
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,290341,0,31.9,3814.15,3768.29,0,0,-31.9,200.74473684210525,-1.6789473684210525,July 2023
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,4,6197,0,88.74,399.03,463.74,0,0,-88.74,99.7575,-22.185,July 2023
Sub Total (i+ii),,,23,296538,0,120.64,4213.18,4232.03,0,0,-120.64,183.1817391304348,-5.245217391304348,July 2023
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2023
Total B -Close ended Schemes,,,120,430773,0,419.19,25881.33,25806.98,0,0,-419.19,215.67775,-3.49325,July 2023
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2023
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,12,2716,0.0,1.75,246.59,269.88,0,0,-1.75,20.549166666666668,-0.14583333333333334,July 2023
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2023
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,July 2023
Total C Interval Schemes,,,12,2716,0.0,1.75,246.59,269.88,0,0,-1.75,20.549166666666668,-0.14583333333333334,July 2023
Grand Total,,,1436,151421270,1000262.01,918215.92,4637564.66,4627687.23,12,35.14,82046.08999999997,3229.501852367688,57.1351601671309,July 2023
Fund of Funds Scheme (Domestic) **,,,76,1878419,909.01,798.63,69308.61,68604.52,0,0,110.38,911.9553947368421,1.4523684210526315,July 2023
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2023
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2023
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,32,694136,416700.11,412072.18,89223.42,104201.6,0,0,4627.929999999993,2788.231875,144.62281249999978,June 2023
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,36,1778066,383421.49,411966.94,419555.58,497239.17,0,0,-28545.45000000001,11654.321666666667,-792.929166666667,June 2023
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,637819,18357.09,20243.66,97161.27,99418.43,0,0,-1886.5699999999997,3886.4508,-75.46279999999999,June 2023
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,930843,10672.61,7314.64,99019.05,96792.69,1,0,3357.9700000000003,4715.192857142857,159.90333333333334,June 2023
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,428088,34749.13,27922.1,140034.52,138006.29,0,0,6827.029999999999,6365.205454545454,310.3195454545454,June 2023
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,502719,1810.02,1997.09,99138.83,99209.53,0,0,-187.06999999999994,3965.5532000000003,-7.4827999999999975,June 2023
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,254975,349.41,477.46,27349.42,27483.14,3,0,-128.04999999999995,1823.2946666666664,-8.536666666666664,June 2023
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,106555,93.92,117.05,9883.63,9900.76,0,0,-23.129999999999995,823.6358333333333,-1.9274999999999995,June 2023
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,7,47668,101.19,93.29,9183.13,9254.31,0,0,7.8999999999999915,1311.8757142857141,1.1285714285714274,June 2023
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,232991,506.35,366.91,30210.28,30166.17,0,0,139.44,1373.1945454545455,6.338181818181818,June 2023
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,610771,3077.68,2525.22,135476.03,135233.24,0,0,552.46,6451.239523809524,26.30761904761905,June 2023
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,238230,122.48,440.61,24324.53,24479.58,3,0,-318.13,1621.6353333333332,-21.208666666666666,June 2023
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,289473,504.82,1303.72,81815.41,82064.98,0,0,-798.9000000000001,3557.191739130435,-34.73478260869565,June 2023
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,180688,628.87,232.55,22702.58,22504.66,0,0,396.32,1031.9354545454546,18.014545454545456,June 2023
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,5,42164,67.46,72.2,4230.47,4233.98,0,0,-4.740000000000009,846.094,-0.9480000000000018,June 2023
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,232214,6193.17,4345.68,58174.5,56859.02,0,0,1847.4899999999998,4474.961538461538,142.11461538461538,June 2023
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,316,7207400,877355.8,891491.32,1347482.62,1437047.55,7,0,-14135.519999999902,4264.185506329114,-44.73265822784779,June 2023
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,June 2023
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,19,4281290,2331.48,1596.8,78415.29,76283.71,0,0,734.6800000000001,4127.120526315789,38.667368421052636,June 2023
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12937115,3084.97,5134.58,259583.23,254471.92,0,0,-2049.61,8373.652580645161,-66.11645161290323,June 2023
